-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,17,18,18,18,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,37,38,38,38,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,57,58,97,58,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,51,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,138,99,139,-1,-1,-1,-1,-1,-1,-1,-1,-1,127,-1,66,-1,71,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,98,119,136,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,49,49,50,71,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,96,-1,10,29,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,71,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,116,-1,-1,-1,-1,-1,-1,-1,-1,-1,126,-1,126,88,-1,-1,71,-1,-1,28,-1,-1,-1,-1,-1,-1
-1,-1,85,-1,137,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,2,3,-1,-1,71,-1,-1,-1,111,-1,-1,-1,110,-1
21,22,22,22,22,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,106,124,71,95,-1,-1,131,-1,86,-1,130,-1
121,122,122,122,122,123,-1,127,95,-1,-1,-1,-1,-1,-1,-1,-1,101,102,102,102,102,103,146,146,146,21,22,22,23
121,122,122,122,122,24,102,102,102,103,-1,27,127,105,-1,-1,-1,121,122,122,122,122,123,-1,-1,-1,121,122,122,123
121,122,122,122,122,122,122,122,122,24,102,102,102,103,90,91,92,121,122,122,122,122,123,-1,-1,-1,121,122,122,123
121,122,122,122,122,122,122,122,122,122,122,122,122,123,-1,-1,-1,141,142,142,142,142,143,-1,-1,-1,141,142,142,143
141,142,142,142,142,142,142,142,142,142,142,142,142,143,68,68,68,-1,-1,-1,-1,115,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,115,-1,-1,-1,-1,48,49,49,49,50,93,133,133,114,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,113,133,133,133,133,133,133,133,133,133,114,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
